Service_ID,Name,Category,Description,Location,Cost,Eligibility,Contact,Provider,Source,UserRating,FriendlyScore,EfficientScore,EasyToUnderstandScore,AccessibilityScore,Phone,Email,Website,Organization,ContactPerson,AreaOfVictoria,TransitAccess,AccessMode,FeeType,ChatAvailable,FAQAvailable,Address,VerificationStatus,LastVerified
1,Meals on Wheels Victoria,Food & Nutrition,Hot meals delivered to your door every day by caring volunteers. You do not need to cook — just answer the door.,Victoria,Free,Seniors 60 and older who have difficulty cooking at home,Phone: 250-386-6313,Meals on Wheels Victoria Society,BC211,4,5,3,5,5,250-386-6313,,https://www.mealsonwheelsvictoria.ca,Meals on Wheels Victoria Society,Reception,Victoria Downtown,Yes,In person,Free,No,Yes,"134 Clarence St, Victoria BC",Verified,2026-04-01
2,Better at Home Program,Health & Home Care,Help at home for seniors — light cleaning grocery shopping and friendly visits so you can keep living independently.,Victoria,Free,Seniors 65 and older in Greater Victoria,Phone: 250-477-3535,United Way Southern Vancouver Island,Government/Community,4,5,4,4,5,250-477-3535,betterathome@uwsvi.ca,https://www.betterathomevi.ca,United Way Southern Vancouver Island,Program Coordinator,Victoria,Yes,In person,Free,No,Yes,"2-4841 Quadra St, Victoria BC",Verified,2026-04-01
3,HandyDART,Transportation,Door-to-door bus rides for seniors and people with mobility challenges. Great for medical appointments shopping and activities.,Victoria,Low-cost,People with disabilities or mobility challenges including seniors,Phone: 250-727-7811,BC Transit,BC211,3,4,4,4,4,250-727-7811,,https://www.bctransit.com/victoria/handydart,BC Transit,Booking Line,Greater Victoria,Yes,In person,Partial pay,No,Yes,"520 Gorge Road East, Victoria BC",Verified,2026-04-01
4,SAFER Rental Assistance,Housing,Monthly rent help for low-income seniors so you can afford to stay in your home. Payments go directly to your landlord.,Victoria,Free,Low-income seniors 60 and older renting in BC,Phone: 1-800-257-7756,BC Housing,Government BC,5,4,4,4,4,1-800-257-7756,saferapplication@bchousing.org,https://www.bchousing.org/housing-assistance/rental-assistance/SAFER,BC Housing,SAFER Program Team,Greater Victoria,Yes,Online,Free,Yes,Yes,"3480 Gilmore Way, Burnaby BC",Verified,2026-04-01
5,Island Health Senior Clinics,Health & Home Care,Medical care for seniors — checkups chronic disease management and referrals to specialists. Your health comes first.,Victoria,Free,Seniors in Greater Victoria,Phone: 250-370-8699,Island Health,Health Authority,4,4,4,4,4,250-370-8699,,https://www.islandhealth.ca/seniors,Island Health,Appointments Line,Victoria Downtown,Yes,In person,Free,No,Yes,"1952 Bay St, Victoria BC",Verified,2026-04-01
6,Adult Day Program,Social Activities,Daytime programs with activities meals and friendly people. A great way to stay connected and enjoy your day.,Victoria,Low-cost,Seniors who want social connection or need daytime care,Phone: 250-370-8699,Island Health,Community Directory,3,4,4,4,4,250-370-8699,,https://www.islandhealth.ca/adult-day-programs,Island Health,Day Program Office,Victoria,Yes,In person,Partial pay,No,No,"1952 Bay St, Victoria BC",Verified,2026-04-01
7,Community Meals Program,Food & Nutrition,Free hot lunch Monday to Friday in a friendly community setting. Come for the food — stay for the company.,Victoria,Free,Seniors and adults in need,Phone: 250-383-1951,Greater Victoria Community Services,Community Source,5,4,4,4,4,250-383-1951,,https://www.gvceh.org,Greater Victoria Community Services,Program Coordinator,Victoria Downtown,Yes,In person,Free,No,No,"1020 View St, Victoria BC",Verified,2026-04-01
8,BC211 Helpline,Health & Home Care,Call 2-1-1 any time — day or night — to find any service you need in BC. Friendly staff speak many languages.,Victoria,Free,All seniors and caregivers,Dial: 2-1-1,BC211,BC211,4,3,3,4,4,211,,https://www.bc211.ca,BC211,Helpline Staff,Greater Victoria,Yes,Phone/Online,Free,Yes,Yes,Online service — call 2-1-1,Verified,2026-04-01
9,Home Care Services,Health & Home Care,Care at home — help with bathing dressing and nursing visits so you can stay safely in your own home.,Victoria,Free,Eligible seniors assessed by Island Health,Phone: 250-370-8699,Island Health,Health Authority,4,4,3,4,4,250-370-8699,,https://www.islandhealth.ca/home-community-care,Island Health,Home Care Intake,Greater Victoria,Yes,In person,Free,No,Yes,"1952 Bay St, Victoria BC",Verified,2026-04-01
10,BC Income Assistance,Income Support,Monthly money help for people with low income to cover basic living costs. Apply online or by phone.,Victoria,Free,Low-income residents of BC,Phone: 1-866-866-0800,Government of BC,Government BC,4,4,5,4,4,1-866-866-0800,,https://www2.gov.bc.ca/gov/content/family-social-supports/income-assistance,Ministry of Social Development,Intake Team,Greater Victoria,Yes,Online,Free,Yes,Yes,Online — apply at gov.bc.ca,Verified,2026-04-01
